province,ward,code,type,lat,lon,population,area_km2,nearest_highway_type,distance_to_road_km,snapped_lat,snapped_lon
Đồng Nai,xã Phú Trung,25261.0,xã,11.7238,107.017,13585.0,172.0,residential,1.2398,11.7128042,107.0189622
Đồng Nai,xã Phú Vinh,26215.0,xã,11.2595,107.359,31328.0,69.5,residential,0.1539,11.2606427,107.3597851
Đồng Nai,xã Xuân Đường,26347.0,xã,10.776,107.143,26565.0,82.1,residential,0.085,10.776734,107.142782
Đồng Nai,xã Sông Ray,26362.0,xã,10.7248,107.335,31346.0,65.6,residential,0.0043,10.7248388,107.3349987
Đồng Nai,xã Long Hà,25255.0,xã,11.7,106.815,27614.0,168.4,residential,0.9663,11.6915798,106.8127888
Đồng Nai,phường Hàng Gòn,26113.0,phường,10.8786,107.217,24931.0,45.6,residential,0.3355,10.8758122,107.2181675
Đồng Nai,xã Định Quán,26206.0,xã,11.1398,107.356,85523.0,295.8,residential,0.4195,11.1392136,107.3522669
Đồng Nai,phường Biên Hòa,26068.0,phường,10.9336,106.802,74919.0,21.5,residential,0.0218,10.9336625,106.8021862
Đồng Nai,xã Bình Tân,25246.0,xã,11.8155,106.806,28642.0,190.9,tertiary,0.439,11.8152229,106.8020544
Đồng Nai,phường Trảng Dài,25993.0,phường,11.2028,106.883,104972.0,37.3,unclassified,0.4454,11.1988187,106.8825033
Đồng Nai,xã Long Phước,26413.0,xã,10.7331,107.056,42453.0,81.8,residential,0.4291,10.735006,107.0526368
Đồng Nai,xã Nhơn Trạch,26485.0,xã,10.7372,106.893,78589.0,108.0,residential,0.0441,10.7370015,106.8926562
Đồng Nai,xã Phước An,26503.0,xã,10.6572,106.932,51088.0,170.7,residential,0.1242,10.657885,106.9311158
Đồng Nai,xã Cẩm Mỹ,26341.0,xã,10.8061,107.258,45728.0,113.1,residential,0.2421,10.8061835,107.2558207
Đồng Nai,xã Xuân Đông,26359.0,xã,10.8054,107.358,47623.0,108.0,unclassified,0.143,10.8051741,107.3592679
Đồng Nai,xã Thanh Sơn,26209.0,xã,11.2977,107.256,33342.0,315.4,residential,1.9681,11.2799917,107.2551129
Đồng Nai,xã Thống Nhất,26299.0,xã,11.1119,107.148,71665.0,120.1,residential,0.9138,11.1049497,107.1524115
Đồng Nai,xã Bàu Hàm,26254.0,xã,11.0255,107.085,55559.0,97.5,residential,0.0903,11.0248342,107.0854676
Đồng Nai,xã Dầu Giây,26326.0,xã,10.9214,107.129,71921.0,98.9,residential,0.0343,10.9210926,107.128965
Đồng Nai,xã La Ngà,26227.0,xã,11.1497,107.216,33311.0,133.5,unclassified,0.4266,11.1489348,107.2122341
Đồng Nai,xã Phú Hòa,26221.0,xã,11.2082,107.419,41306.0,71.8,residential,0.0928,11.2086111,107.4182724
Đồng Nai,xã Trảng Bom,26248.0,xã,10.9721,107.016,92712.0,68.8,residential,0.191,10.9733985,107.0148705
Đồng Nai,xã Gia Kiệm,26311.0,xã,11.0194,107.159,79274.0,82.7,tertiary,0.0697,11.019037,107.1595124
Đồng Nai,xã Hưng Thịnh,26281.0,xã,10.9246,107.065,57825.0,57.6,residential,0.0228,10.9244926,107.0648253
