province,ward,code,type,lat,lon,population,area_km2
Tây Ninh,phường Tân An,27712,phường,10.5101,106.407,85997,8.06
Đồng Nai,xã Xuân Định,26461,xã,10.8765,107.286,3687,52.30
Tây Ninh,xã Long Hựu,28144,xã,10.4786,106.691,29057,36.89
Tây Ninh,xã Cần Giuộc,28159,xã,10.6154,106.689,77704,60.40
Tây Ninh,xã Phước Lý,28165,xã,10.6310,106.609,4284,27.37
Tây Ninh,xã Phước Vĩnh Tây,28201,xã,10.5587,106.666,28127,34.40
Tây Ninh,xã Tầm Vu,28210,xã,10.4743,106.48,35956,43.50
Tây Ninh,xã An Ninh,27943,xã,10.9815,106.313,40,68.81
Tây Ninh,xã Đức Hòa,27937,xã,10.7967,106.45,49864,63.31
Tây Ninh,xã Hậu Nghĩa,27931,xã,10.9372,106.399,46745,66.48
Tây Ninh,xã Tân Tập,28207,xã,10.5367,106.709,44767,60.22
Tây Ninh,xã An Lục Long,28243,xã,10.4188,106.462,29485,33.75
Tây Ninh,xã Thuận Mỹ,28225,xã,10.4502,106.539,3933,53.37
Tây Ninh,xã Vĩnh Công,28222,xã,10.4997,106.445,22784,24.71
Tây Ninh,xã Mỹ Lệ,28132,xã,10.5599,106.575,36969,39.85
Tây Ninh,xã Long Cang,28126,xã,10.5947,106.519,32686,31.73
Tây Ninh,xã Thạnh Lợi,27994,xã,10.7438,106.399,24037,96.52
Tây Ninh,xã Tân Lân,28138,xã,10.5070,106.632,29984,38.93
Tây Ninh,xã Hiệp Hòa,27952,xã,10.9133,106.345,,549.94
Tây Ninh,xã Tuyên Thạnh,27817,xã,10.7424,105.875,15331,108.81
